fips,vdh_geography,acs_county_name,overdose_ed_count,overdose_ed_rate,poverty_rate,hs_or_less_rate,poverty_bucket,education_bucket,total_families,families_below_poverty,hs_or_less_families
51011,Appomattox,"Appomattox County, Virginia",35.0,60.3,9.92,42.27,2. Moderate poverty: 6% to <10%,3. High HS-or-less: 35% to <45%,4504.0,447.0,1904.0
51111,Lunenburg,"Lunenburg County, Virginia",20.0,40.1,12.67,52.47,3. High poverty: 10% to <14%,4. Very high HS-or-less: 45%+,2880.0,365.0,1511.0
51036,Charles City,"Charles City County, Virginia",12.0,33.1,5.91,49.4,1. Low poverty: <6%,4. Very high HS-or-less: 45%+,1828.0,108.0,903.0
51021,Bland,"Bland County, Virginia",17.0,60.1,10.17,48.76,3. High poverty: 10% to <14%,4. Very high HS-or-less: 45%+,1534.0,156.0,748.0
51187,Warren,"Warren County, Virginia",109.0,47.9,9.59,38.95,2. Moderate poverty: 6% to <10%,3. High HS-or-less: 35% to <45%,10538.0,1011.0,4105.0
51735,Poquoson,"Poquoson city, Virginia",16.0,36.3,3.86,22.94,1. Low poverty: <6%,1. Lower HS-or-less: <25%,3805.0,147.0,873.0
51147,Prince Edward,"Prince Edward County, Virginia",58.0,35.3,11.43,31.15,3. High poverty: 10% to <14%,2. Moderate HS-or-less: 25% to <35%,4453.0,509.0,1387.0
51073,Gloucester,"Gloucester County, Virginia",82.0,39.7,3.17,34.13,1. Low poverty: <6%,2. Moderate HS-or-less: 25% to <35%,10571.0,335.0,3608.0
51700,Newport News,"Newport News city, Virginia",404.0,36.0,10.85,31.76,3. High poverty: 10% to <14%,2. Moderate HS-or-less: 25% to <35%,43361.0,4703.0,13770.0
51139,Page,"Page County, Virginia",42.0,24.4,9.0,54.06,2. Moderate poverty: 6% to <10%,4. Very high HS-or-less: 45%+,6086.0,548.0,3290.0
51135,Nottoway,"Nottoway County, Virginia",46.0,44.0,9.83,45.98,2. Moderate poverty: 6% to <10%,4. Very high HS-or-less: 45%+,3469.0,341.0,1595.0
51013,Arlington,"Arlington County, Virginia",217.0,41.1,4.31,12.31,1. Low poverty: <6%,1. Lower HS-or-less: <25%,49498.0,2135.0,6094.0
51760,Richmond City,"Richmond city, Virginia",1168.0,69.6,12.45,30.2,3. High poverty: 10% to <14%,2. Moderate HS-or-less: 25% to <35%,45734.0,5693.0,13810.0
51027,Buchanan,"Buchanan County, Virginia",69.0,61.5,17.5,59.42,4. Very high poverty: 14%+,4. Very high HS-or-less: 45%+,4931.0,863.0,2930.0
51083,Halifax,"Halifax County, Virginia",75.0,39.5,11.9,42.77,3. High poverty: 10% to <14%,3. High HS-or-less: 35% to <45%,8440.0,1004.0,3610.0
51057,Essex,"Essex County, Virginia",12.0,14.7,6.32,50.38,2. Moderate poverty: 6% to <10%,4. Very high HS-or-less: 45%+,2485.0,157.0,1252.0
