fips,vdh_geography,acs_county_name,overdose_ed_count,overdose_ed_rate,poverty_rate,hs_or_less_rate,poverty_bucket,education_bucket
51169,Scott,"Scott County, Virginia",14.0,79.7,16.34,47.9,4. Very high poverty: 14%+,4. Very high HS-or-less: 45%+
51680,Lynchburg,"Lynchburg city, Virginia",304.0,76.2,12.27,26.62,3. High poverty: 10% to <14%,2. Moderate HS-or-less: 25% to <35%
51760,Richmond City,"Richmond city, Virginia",1168.0,69.6,12.45,30.2,3. High poverty: 10% to <14%,2. Moderate HS-or-less: 25% to <35%
51009,Amherst,"Amherst County, Virginia",80.0,68.3,7.64,41.5,2. Moderate poverty: 6% to <10%,3. High HS-or-less: 35% to <45%
51155,Pulaski,"Pulaski County, Virginia",152.0,66.2,9.41,34.94,2. Moderate poverty: 6% to <10%,2. Moderate HS-or-less: 25% to <35%
51740,Portsmouth,"Portsmouth city, Virginia",465.0,63.1,14.1,33.86,4. Very high poverty: 14%+,2. Moderate HS-or-less: 25% to <35%
51027,Buchanan,"Buchanan County, Virginia",69.0,61.5,17.5,59.42,4. Very high poverty: 14%+,4. Very high HS-or-less: 45%+
51011,Appomattox,"Appomattox County, Virginia",35.0,60.3,9.92,42.27,2. Moderate poverty: 6% to <10%,3. High HS-or-less: 35% to <45%
51021,Bland,"Bland County, Virginia",17.0,60.1,10.17,48.76,3. High poverty: 10% to <14%,4. Very high HS-or-less: 45%+
51045,Craig,"Craig County, Virginia",11.0,55.1,10.47,36.93,3. High poverty: 10% to <14%,3. High HS-or-less: 35% to <45%
51185,Tazewell,"Tazewell County, Virginia",127.0,54.1,13.05,44.55,3. High poverty: 10% to <14%,3. High HS-or-less: 35% to <45%
51141,Patrick,"Patrick County, Virginia",23.0,52.6,8.4,46.41,2. Moderate poverty: 6% to <10%,4. Very high HS-or-less: 45%+
51087,Henrico,"Henrico County, Virginia",828.0,52.4,6.16,22.7,2. Moderate poverty: 6% to <10%,1. Lower HS-or-less: <25%
51031,Campbell,"Campbell County, Virginia",83.0,51.0,7.74,34.19,2. Moderate poverty: 6% to <10%,2. Moderate HS-or-less: 25% to <35%
51125,Nelson,"Nelson County, Virginia",33.0,49.6,8.23,29.95,2. Moderate poverty: 6% to <10%,2. Moderate HS-or-less: 25% to <35%
